City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,russell,32.3502,-85.1999,10.6,71,20,7.72,US,1674696405
347,saint-pierre,-21.3393,55.4781,23.82,83,75,3.09,RE,1674696406
348,iqaluit,63.7506,-68.5145,-33.15,68,20,1.03,CA,1674696406
349,sosnovo,60.5514,30.2144,0.14,97,100,5.47,RU,1674696406
350,padang,-0.9492,100.3543,26.03,77,100,1.2,ID,1674696407
351,luderitz,-26.6481,15.1594,17.22,67,0,8.04,NA,1674696407
352,port hedland,-20.3167,118.5667,37.03,39,8,4.63,AU,1674696407
353,rayong,12.8333,101.4333,23.8,52,51,2.05,TH,1674696257
354,hellin,38.5106,-1.701,2.77,63,18,4.96,ES,1674696408
355,antofagasta,-23.65,-70.4,20.6,85,64,1.67,CL,1674696313
356,bardiyah,31.7561,25.0865,14.05,68,58,6.89,LY,1674696409
357,mount gambier,-37.8333,140.7667,20.03,38,7,3.96,AU,1674696248
358,henties bay,-22.116,14.2845,17.36,85,58,2.53,NA,1674696409
359,erdenet,49.0333,104.0833,-26.99,96,21,2.06,MN,1674696409
360,abha,18.2164,42.5053,11.14,54,0,6.69,SA,1674696410
361,bouca,6.5105,18.2733,21.49,22,0,0.11,CF,1674696410
362,lodja,-3.4833,23.4333,19.11,92,100,0.1,CD,1674696410
363,depalpur,22.85,75.55,14.22,56,3,3.59,IN,1674696411
364,kungurtug,50.5994,97.5228,-27.71,97,100,0.83,RU,1674696411
365,leh,34.1667,77.5833,-14.02,89,97,1.2,IN,1674696411
366,dublin,37.7021,-121.9358,17.39,52,0,2.06,US,1674696412
367,sembe,1.6481,14.5806,25.46,49,94,0.87,CG,1674696412
368,fuerte olimpo,-21.0415,-57.8738,26.69,63,62,2.07,PY,1674696412
369,bairiki,1.3292,172.9752,27.0,89,75,4.63,KI,1674696413
370,bangassou,4.7413,22.8184,21.21,38,24,1.38,CF,1674696413
371,vila velha,-20.3297,-40.2925,23.97,95,75,3.09,BR,1674696413
372,shenzhen,22.5455,114.0683,15.63,78,26,2.32,CN,1674696268
373,sokoni,-6.4333,39.55,26.76,81,100,7.04,TZ,1674696414
374,ibirama,-27.0569,-49.5178,21.61,94,5,1.51,BR,1674696414
375,ko samui,9.5357,99.9357,26.95,74,20,3.09,TH,1674696414
376,todos santos,23.45,-110.2167,20.37,68,100,3.4,MX,1674696415
377,sao raimundo nonato,-9.0153,-42.6994,27.14,51,100,1.36,BR,1674696415
378,kununurra,-15.7667,128.7333,25.99,94,100,2.57,AU,1674696410
379,fort nelson,58.8053,-122.7002,-4.23,93,40,3.09,CA,1674696416
380,peto,20.1333,-88.9167,22.08,95,94,1.35,MX,1674696416
381,kumluca,36.3703,30.2869,12.88,66,6,1.74,TR,1674696416
382,pisco,-13.7,-76.2167,23.03,83,75,3.09,PE,1674696417
383,victoria,22.2855,114.1577,15.69,72,41,2.24,HK,1674696303
384,san juan,-31.5375,-68.5364,28.45,45,0,5.04,AR,1674696340
385,haines junction,60.7522,-137.5108,-0.85,93,41,2.69,CA,1674696286
386,palana,59.1167,159.9667,-9.21,63,100,15.13,RU,1674696417
387,deputatskiy,69.3,139.9,-38.54,99,100,1.03,RU,1674696417
388,saskylakh,71.9167,114.0833,-33.31,97,100,4.35,RU,1674696418
389,gamba,-2.65,10.0,25.65,87,96,2.65,GA,1674696418
390,bubaque,11.2833,-15.8333,24.2,75,43,8.12,GW,1674696418
391,penha,-26.7694,-48.6458,25.93,83,40,5.14,BR,1674696419
392,bustamante,26.5333,-100.5,13.16,32,11,3.04,MX,1674696419
393,porto novo,6.4965,2.6036,27.9,88,5,2.66,BJ,1674696419
394,roald,62.5833,6.1333,7.09,69,98,7.82,NO,1674696420
395,cherskiy,68.75,161.3,-35.68,97,24,0.87,RU,1674696420
396,puerto madryn,-42.7692,-65.0385,21.66,39,12,2.51,AR,1674696420
397,sola,-13.8833,167.55,28.15,76,100,6.78,VU,1674696421
398,caravelas,-17.7125,-39.2481,25.29,83,100,3.6,BR,1674696421
399,la palma,33.8464,-118.0467,21.08,47,20,4.12,US,1674696421
400,pimenta bueno,-11.6725,-61.1936,22.94,95,74,1.42,BR,1674696422
401,lexington,37.9887,-84.4777,3.0,84,100,5.66,US,1674696192
402,mgandu,-5.95,34.1333,15.47,96,100,1.45,TZ,1674696424
403,karasjok,69.4719,25.5112,-4.93,89,20,5.83,NO,1674696424
404,knyaginino,55.8228,45.0349,-5.51,90,99,6.21,RU,1674696425
405,codrington,-38.2667,141.9667,18.74,44,63,5.53,AU,1674696426
406,san carlos de bariloche,-41.1456,-71.3082,12.86,50,40,7.2,AR,1674696427
407,reinosa,42.9996,-4.138,2.48,98,100,3.1,ES,1674696428
408,jian,27.1172,114.9793,4.9,50,0,0.64,CN,1674696429
409,geraldton,-28.7667,114.6,28.23,39,7,3.6,AU,1674696380
410,muros,42.7762,-9.0603,8.8,79,19,4.24,ES,1674696430
411,sobolevo,54.4299,31.8996,-2.78,78,100,3.96,RU,1674696430
412,comodoro rivadavia,-45.8667,-67.5,20.92,28,20,12.35,AR,1674696392
413,les cayes,18.2,-73.75,23.79,78,59,4.39,HT,1674696432
414,oranjemund,-28.55,16.4333,15.74,91,2,5.36,NA,1674696419
415,hammerfest,70.6634,23.6821,1.25,69,75,3.6,NO,1674696433
416,aklavik,68.2191,-135.0107,-20.72,97,100,5.23,CA,1674696434
417,teya,60.3778,92.6267,-24.65,95,100,2.25,RU,1674696435
418,conde,-7.2597,-34.9075,25.7,78,20,2.57,BR,1674696438
